path, Rfree
../pdb\3c_like_proteinase\SARS-CoV-2\7kfj 0.268
../pdb\human_interaction_partners\Cathepsin_L\3k24 0.27002
../pdb\human_interaction_partners\TCP2\5ek0 0.2719
../pdb\human_interaction_partners\Cathepsin_L\2xu1 0.27217
../pdb\human_interaction_partners\ACE2\2c6f 0.273
../pdb\human_interaction_partners\Cathepsin_L\6f06 0.27428
../pdb\human_interaction_partners\Cathepsin_L\2xu5 0.27583
../pdb\human_interaction_partners\ACE2\4bzs 0.27681
../pdb\human_interaction_partners\Cathepsin_L\3h89 0.28
../pdb\human_interaction_partners\ACE2\1r42 0.287
../pdb\human_interaction_partners\Cathepsin_L\3h8c 0.292
../pdb\human_interaction_partners\TCP2\6n4i 0.2942
../pdb\human_interaction_partners\Cathepsin_L\6ezx 0.29685
../pdb\human_interaction_partners\ACE2\3kbh 0.29973
../pdb\human_interaction_partners\ACE2\2c6n 0.308
../pdb\nsp3\SARS-CoV-2\7d7t 0.3127
../pdb\human_interaction_partners\ACE2\1r4l 0.337
../pdb\human_interaction_partners\Cathepsin_L\3hwn 0.34718
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jun None
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lb7 None
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7n8c None
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7d1m 0.157
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7aeh 0.1735
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rc0 0.1741
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xkh 0.1749
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jkv 0.1769
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6w79 0.1773
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jr4 0.1802
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7kph 0.1809
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jr3 0.1832
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lbn 0.18546
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7k3t 0.1866
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7kyu 0.187
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xr3 0.1874
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7bb2 0.1886
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7alh 0.189
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rbz 0.1892
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rmz 0.1893
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rn4 0.1897
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rm2 0.1901
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ar6 0.1904
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7k40 0.1915
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7cb7 0.1916
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6yb7 0.1917
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jt0 0.1917
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/7lmj 0.1917
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ju7 0.1918
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7awr 0.1921
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7aol 0.1924
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ltj 0.1924
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6m0k 0.1931
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rmb 0.1937
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ay7 0.195
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rmt 0.1957
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6wnp 0.1959
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jst 0.1961
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7cuu 0.1963
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lzt 0.1966
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7n5z 0.1969
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhm 0.1978
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7nby 0.1982
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6lze 0.1989
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dpu 0.199
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7bfb 0.1991
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7e18 0.1992
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rl2 0.1999
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6y84 0.2
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgr 0.2001
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/5n19 0.20045
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7axo 0.2005
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rnh 0.2005
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xb0 0.201
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7bgp 0.201
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7l5d 0.201
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rls 0.201
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7djr 0.201
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7aha 0.2011
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lzu 0.2011
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7buy 0.2012
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7be7 0.2013
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgp 0.2019
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xb1 0.2019
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7aeg 0.2021
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jsu 0.2028
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/6w2a 0.203
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgw 0.2033
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rme 0.2035
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7b3e 0.2038
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xqs 0.2039
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7s3k 0.2039
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6m2q 0.204
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7a1u 0.2042
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhg 0.2043
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7l14 0.2044
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7vh8 0.2045
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lkt 0.2048
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh4 0.2049
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rl3 0.2049
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rl4 0.2052
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jpy 0.2052
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xbg 0.2057
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7m2p 0.2058
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rhd 0.2059
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgj 0.2062
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7rnk 0.2064
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7baj 0.2066
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3szn 0.20669
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7b83 0.2067
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7si9 0.2067
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rhb 0.2069
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2op9 0.207
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7nts 0.2072
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgh 0.2076
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mho 0.2077
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ng6 0.2077
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/7lmg 0.2078
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2qcy 0.208
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2zu5 0.208
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5r8t 0.2081
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6yvf 0.2081
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lkv 0.2084
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7d3i 0.2089
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgz 0.209
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7cx9 0.2092
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dk1 0.2094
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rha 0.2095
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7axm 0.2095
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xhm 0.2096
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfu 0.2098
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7s4b 0.2098
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgk 0.2099
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/7k0h 0.21
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rl1 0.2103
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7amj 0.2104
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lku 0.2107
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2v6n 0.211
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfd 0.211
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5red 0.2112
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ans 0.2114
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5r82 0.2116
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xmk 0.2116
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgi 0.2117
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lzv 0.2119
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/4mds 0.21227
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lkx 0.2123
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jyc 0.2125
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfc 0.2128
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dgi 0.2129
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf8 0.2132
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfe 0.2136
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ar5 0.2137
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jq2 0.2139
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lzx 0.2139
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2h2z 0.214
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rl0 0.214
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ng3 0.2147
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5r83 0.2149
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rg3 0.215
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfa 0.2151
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7abu 0.2151
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rg1 0.2152
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/7lmh 0.2152
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7k6d 0.2153
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf9 0.2154
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6zru 0.2154
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rhe 0.2156
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/7lmi 0.2156
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7p51 0.2157
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7c7p 0.2159
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6yz6 0.2161
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rfx 0.2163
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgg 0.2165
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6xbi 0.2166
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ali 0.2167
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf7 0.2169
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhn 0.2169
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dgg 0.2169
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/2gt7 0.21694
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7jvz 0.21719
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh6 0.2173
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rhc 0.2173
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lyi 0.2173
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rf6 0.2174
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rl5 0.2174
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mhp 0.2174
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgo 0.2175
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7mng 0.2179
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7kfi 0.218
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7n89 0.218
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rgx 0.2181
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dgf 0.2182
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7n44 0.2185
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/6y2f 0.2191
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV/3tnt 0.21916
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7lkr 0.2192
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7bak 0.2193
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rel 0.2197
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7aww 0.2198
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh7 0.2202
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7dpp 0.2202
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/5rh8 0.2205
/scratch/CSTF/cstf/coronavirus_structural_task_force/pdb/3c_like_proteinase/SARS-CoV-2/7ak4 0.2205
